date,desc,btc_in,btc_out,hash,bal
20140312,PAYMENT RECEIVED,0.99,0,19f9f1ec67a2c0f2a7a976ae38f1a4a364333e3b33de5d05793def9abb3e7b8b,67.82431113
20140312,PAYMENT RECEIVED,0.02,0,20ee2ee341ebc4a0116aaaa796a0cb9324634e2788c35040d73dec0722e03a7f,64.47955079
20140312,PAYMENT RECEIVED,0.25,0,9419cd30b88e63c343c9845708937217f0a7329e270e341b28e844adbe22ed76,64.72955079
20140312,PAYMENT RECEIVED,0.2,0,a9dae06850dbf72b79e098d0100ec831f9f15d9db22a0a2c97d1809017e3ab42,64.92955079
20140312,PAYMENT RECEIVED,0.2,0,f745a55fb2443d78536242f687882da21efbcfc586b465f3d0be06a367056c54,65.12955079
20140312,PAYMENT RECEIVED,0.2,0,07056c0dd0d1fd0c20d051593b909def3972a808c994534cdf79202b1ee7eee4,65.32955079
20140312,PAYMENT RECEIVED,0.088,0,25364b7b8f09b87910be1f43d07b5bd22df424c2fb0c33c58222b4367fa6145b,65.41755079
20140312,PAYMENT RECEIVED,0.19,0,69d1c88b423f4ad14acdb50a145f966eee501e8cd57bce8942398b6ee386a427,65.60755079
20140312,PAYMENT RECEIVED,0.025,0,e68b9e9c50970d9fe29d68945cb645114ce17681fb7c4d197be2f57ac6a9e055,64.45955079
20140312,PAYMENT RECEIVED,0.02,0,24d144784a29a7a7d24473eee43d6f082833c63c167a14e651cc42a501653c11,56.07255079
20140312,PAYMENT RECEIVED,8.3,0,dadc469953bb1354c8ae73cff21cdeb29f61139a5cb081abad82dd0c1cb4fb3d,64.37255079
20140312,PAYMENT RECEIVED,0.062,0,c5767e36f0756fdf174bfa39e8e152252ad11e1129b1fe72c62d681b7520191f,64.43455079
20140312,PAYMENT RECEIVED,19.553,0,ff872e735e30490d73a4b38debd2e6ec51f1454852158d68ab48c6b839792a85,55.65875079
20140312,PAYMENT RECEIVED,0.091,0,bf1731109798b23076569d92bc1abd0a8a9d03195183eeb19fa26f4d7eb36618,55.74975079
20140312,PAYMENT RECEIVED,0.02,0,d60ebe61ccf4e5695707db994509778a925ad0bb326a942474194583c58669f0,55.76975079
20140312,PAYMENT RECEIVED,0.2828,0,8d1359a4973281fd7351140fbdca38d9bcfb3e97c77c24f9a1afac64dd81a615,56.05255079
20140312,PAYMENT RECEIVED,0.1,0,3720f3aa7f60ccb547314eebb7e58196cc991ebc9ef142bedc642a6f55fc823e,36.10575079
20140312,PAYMENT RECEIVED,0.09,0,3c28415b26ed0577b41058929af2d34cff09f7062b0b6343e52332937ea361d4,33.98175079
20140312,PAYMENT RECEIVED,2,0,d267f844a76414a835a5a7958721c4cc4c1e6410d3331022d1d851e79e6c727d,35.98175079
20140312,PAYMENT RECEIVED,0.024,0,1d39582eeeb6fbadb9056a871bea27757ccd93d2c4e5936a89d5dc728160102b,36.00575079
20140312,PAYMENT RECEIVED,0.1,0,8f972f9986c419fcf3b33de30a6f253a86bfabdce31c65f3f200434ddc7cae2b,33.58524183
20140312,PAYMENT RECEIVED,0.28727154,0,f1f066d6386e6e02ae77299b961d18b5728c9803592688de4b57d77f4183d6d7,33.87251337
20140312,PAYMENT RECEIVED,0.01923742,0,5d37c262276cbece7eb5f4cdd08074d957267a07ce23827ad61a8b583fd6755a,33.89175079
20140312,PAYMENT RECEIVED,1,0,2e55e51d38727fe1de45ae5c08d20f3ea50f9a6d295bc27563d68332112e814a,33.38524183
20140312,PAYMENT RECEIVED,0.1,0,b101df14b6cce623aa5784dbd751995ba6ee84fb4a5b97b3b7a70c379c11b6cb,33.48524183
20140312,PAYMENT RECEIVED,0.05,0,ab5e59d360036e9d68ef0dc2180fb524d90da1018acdabcae0966b15a6df5758,32.28524183
20140312,PAYMENT RECEIVED,0.1,0,5f97eda625470f27ccc676d90c0f2bdd5709f47818b654df2a2126030a2d70df,32.38524183
20140312,PAYMENT RECEIVED,0.001,0,75792a0b26e4b2900220c367db5083af2bba0591b1585e1916f47b1d72bfaada,32.23524183
20140312,PAYMENT RECEIVED,0.032,0,c137339729c6e8da1581bcd62ee9374380759ec97a45e8b4e015e75ee453102f,31.89424183
20140312,PAYMENT RECEIVED,0.02,0,d46a0ba2756d7cdd3ffe92e8b34aa995cedb79623dd0b3152aed45bebbf09d66,31.91424183
20140312,PAYMENT RECEIVED,0.02,0,8937f89a4514e9753ff3d627691ca0c1b80fc4cfb10866ac45af38329216fac9,31.93424183
20140312,PAYMENT RECEIVED,0.2,0,652f48d0c3f2b26fd410cb3da5313c9fbda4ee284512cca1d062403b8b78f696,32.13424183
20140312,PAYMENT RECEIVED,0.1,0,6308ab1edebb2e7a8e22e04fabc55a319b94817827f72ba9766c743e7df0170e,32.23424183
20140312,PAYMENT RECEIVED,0.3961211,0,1d34df29685641483d6561072772a785e9db893021e06493973469a31a0cd9b0,31.71924183
20140312,PAYMENT RECEIVED,0.118,0,f1850ab35e926ec7c77205eadb170a6e4968e5f25d9b74b1f9c66bd24d3d4a29,31.83724183
20140312,PAYMENT RECEIVED,0.025,0,d3e42d23fe26bb1ac5f08af6c421c17b5ba205a19a7344b081bf6c7c6d2a1ce7,31.86224183
20140312,PAYMENT RECEIVED,0.0306,0,1ecc6e927508c9724b27ca6386d46ce5f2d148f8de7c431b031e011daffe21d8,29.27831022
20140312,PAYMENT RECEIVED,0.303,0,8f57d6b1004787aa1f53eae250212f6cf21e9393a8cccef1a4fc87704534d6c8,29.58131022
20140312,PAYMENT RECEIVED,0.001,0,7f27a3a89a9f93304eda799a076e25ad5fdb91a6e6b96da635a1e3d232da471b,29.58231022
20140312,PAYMENT RECEIVED,0.001,0,0d7c6d2e6259f7306d52a81b473112710dadf3f1b786d09802a93c08a58af7f7,29.58331022
20140312,PAYMENT RECEIVED,1.73981051,0,e0bd66c9280e978de180889d66b2847192a5104553b91d454310a5c1f1082afc,31.32312073
20140312,PAYMENT RECEIVED,4,0,98cc22b38288932191d6753e5d7e849b7ca3df4a5b256546161a0c9fbae4d563,23.11571022
20140312,PAYMENT RECEIVED,5.6,0,2cbe4aa9ce9adb9c0d918df2b4f9538072ffa548760e7455604f845a7a59ab2f,28.71571022
20140312,PAYMENT RECEIVED,0.022,0,b2bb9b1a6248deffac61892246078cf018aa7d8f3abbff04beadbf96e39705d5,28.73771022
20140312,PAYMENT RECEIVED,0.51,0,12e78d300f475b95d967e3d525e3d0dde4e625756cecbb0bd5d1533ad840251e,29.24771022
20140312,PAYMENT RECEIVED,0.001,0,d20fe7957751371283b7ce586cf0ad4354a638b5a04e92ed9986bd6a519e2e44,19.09571022
20140312,PAYMENT RECEIVED,0.02,0,e3364443cfaebb58b055f7e1e160b795d112a8fc37fedc341c145ab50c3a52f5,19.11571022
20140312,PAYMENT RECEIVED,0.037,0,ae0912f8b7e2e8ed34a38ecaeeca313b8a145c69050ae0cf59a4833d72f715a7,18.90841022
20140312,PAYMENT RECEIVED,0.0163,0,ed5b738e5dcb433086bf128f38193e27602ed7579dd58fc5ec96a5ee1ad451d9,18.92471022
20140312,PAYMENT RECEIVED,0.17,0,2282f790bffd5e1453196d88beb03fc94601d9664261ed3835ec34ccf75a8a53,19.09471022
20140312,PAYMENT RECEIVED,1,0,a507ec2ccbfca44a1240c289e89d8832f936563121551db0ebc3b43c718e759f,14.16941022
